sec_idx,binance_mid,coinbase_mid,poly_mid,poly_shifted_for_binance,poly_shifted_for_coinbase
0,66984.07500000,66918.02500000,66925.21000000,66925.21000000,66925.21000000
1,66984.07500000,66918.02500000,66925.21000000,66925.21000000,66925.21000000
2,66984.07500000,66920.55500000,66926.06795947,66926.06795947,66926.06795947
3,66984.07500000,66922.27000000,66927.00817756,66927.00817756,66927.00817756
4,66984.07500000,66924.87500000,66929.31118765,66929.31118765,66929.31118765
5,66984.07500000,66922.54500000,66929.40289673,66929.40289673,66929.40289673
6,66985.01500000,66922.67000000,66929.07000000,66929.07000000,66929.07000000
7,66995.87500000,66925.10500000,66928.42000000,66928.42000000,66928.42000000
8,66995.87500000,66938.56500000,66929.75182253,66929.75182253,66929.75182253
9,66997.98500000,66939.95000000,66937.44908397,66937.44908397,66937.44908397
10,67001.99500000,66950.29500000,66940.06239923,66940.06239923,66940.06239923
11,67001.99500000,66950.29500000,66941.90000000,66941.90000000,66941.90000000
12,67001.99500000,66948.13500000,66947.06000000,66947.06000000,66947.06000000
13,67001.99500000,66948.13500000,66947.88411000,66947.88411000,66947.88411000
14,67001.99500000,66944.99500000,66947.87878500,66947.87878500,66947.87878500
15,67001.99500000,66940.88500000,66947.93357000,66947.93357000,66947.93357000
16,67001.99500000,66945.41500000,66946.67535428,66946.67535428,66946.67535428
17,67007.99500000,66945.83500000,66946.46940359,66946.46940359,66946.46940359
18,67007.99500000,66950.29500000,66947.23457000,66947.23457000,66947.23457000
19,67007.99500000,66950.29500000,66948.53740887,66948.53740887,66948.53740887
20,67007.99500000,66950.29500000,66952.21495586,66952.21495586,66952.21495586
21,67008.95500000,66951.47000000,66952.14082943,66952.14082943,66952.14082943
22,67004.46500000,66948.53000000,66952.42403938,66952.42403938,66952.42403938
23,66981.13500000,66941.00500000,66953.58572691,66953.58572691,66953.58572691
24,66981.13500000,66918.07500000,66945.93428701,66945.93428701,66945.93428701
25,66981.13500000,66918.02500000,66945.93428701,66945.93428701,66945.93428701
26,66981.13500000,66918.02500000,66927.00883682,66927.00883682,66927.00883682
27,66976.09500000,66918.02500000,66925.97000000,66925.97000000,66925.97000000
28,66967.65500000,66909.87500000,66925.40054024,66925.40054024,66925.40054024
29,66967.65500000,66900.09500000,66922.93723792,66922.93723792,66922.93723792
30,66957.47500000,66898.46500000,66917.95057044,66917.95057044,66917.95057044
